Date,Open,High,Low,Close,Volume,Adj Close,Volatility
10/6/2008,122.1,127.17,115,124,21368000,114.95,0.095698671
10/7/2008,127.51,127.51,112.02,115,17184000,106.61,0.121480668
10/8/2008,110,121,107.55,113,18223800,104.76,0.111157025
10/9/2008,117.75,118.94,100,101.35,28150500,93.96,0.159239953
10/10/2008,86.11,99.4,74,88.8,71312700,82.32,0.255533199
10/13/2008,98.93,115.65,91,111,45400500,102.9,0.213143104
10/14/2008,125.97,128,117.32,122.9,41605300,113.94,0.0834375
10/15/2008,114.45,120.71,110.79,113.15,22250100,104.9,0.082180432
10/16/2008,115,118.49,104,112.4,27901700,104.2,0.122288801
10/17/2008,110.24,118.59,107,114.3,18413500,105.96,0.097731681
10/20/2008,117.55,123.8,115.65,121.5,16908300,112.64,0.065831987
10/21/2008,120.84,123.62,118.83,121.35,13588000,112.5,0.038747775
10/22/2008,117.19,120.19,111,115.06,15459100,106.67,0.076462268
10/23/2008,113.98,116,101.71,108.58,25529600,100.97,0.123189655
10/24/2008,96,105,96,100.4,24494800,93.36,0.085714286
10/27/2008,96.8,102,91.47,92.88,20595000,86.37,0.103235294
10/28/2008,96.99,97.25,82.22,93.57,50066600,87.01,0.154550129
10/29/2008,93.35,102.71,88.66,97.66,27769900,90.81,0.136792912
10/30/2008,101.16,101.25,88.01,91.11,29700400,84.72,0.130765432
10/31/2008,88.98,95,87.2,92.5,24881200,86.01,0.082105263
11/3/2008,92,95.25,87.31,89.09,19796200,82.84,0.08335958
11/4/2008,90.69,95,87.18,95,22105700,88.34,0.082315789
11/5/2008,92.78,94.71,86.5,87.43,15693100,81.3,0.086685672
11/6/2008,85.91,88.8,79.41,80.72,25933100,75.06,0.105743243
11/7/2008,81.45,81.85,75,77.78,31450400,72.33,0.083689676
11/10/2008,78.77,79.22,68.51,71.21,47450700,66.22,0.135193133
11/11/2008,69.36,75.42,66.68,74.68,47573900,69.44,0.115884381
11/12/2008,71.99,73.64,64.54,66.79,34436600,62.11,0.123574144
11/13/2008,67.79,70.4,61.02,69.99,39994000,65.08,0.133238636
11/14/2008,67.85,70,65.12,66.73,22186300,62.05,0.069714286
11/17/2008,64.79,66.33,61.75,62.49,20299400,58.11,0.069048696
11/18/2008,62.73,65.5,60.56,62.03,25737100,57.68,0.075419847
11/19/2008,61.33,63.45,54.54,55.18,30481500,51.31,0.140425532
11/20/2008,54,57.54,49,52,55618000,48.35,0.148418491
11/21/2008,54.54,54.54,47.41,53.31,39591500,49.57,0.13072974
